=== [1/2] Train: feat=both, prev_p in {0.0, 1.0}, seeds 0-4 ===
  training prev_p=0.0 seed=0 -> method02_advantage_regress_tinyConv/outputs/bdd100k/policy_both_prevpp00_s0.pt
ep  28 | train total 0.6417 acc -0.0420 flops 0.6647 p_super 0.065 || val p_super 0.031 acc -0.0206 corr 0.136
ep  29 | train total 0.6423 acc -0.0414 flops 0.6648 p_super 0.065 || val p_super 0.045 acc -0.0240 corr 0.134
ep  30 | train total 0.6423 acc -0.0403 flops 0.6632 p_super 0.061 || val p_super 0.047 acc -0.0270 corr 0.141
ep  31 | train total 0.6409 acc -0.0430 flops 0.6650 p_super 0.066 || val p_super 0.040 acc -0.0203 corr 0.137
ep  32 | train total 0.6409 acc -0.0426 flops 0.6646 p_super 0.064 || val p_super 0.047 acc -0.0246 corr 0.140
ep  33 | train total 0.6414 acc -0.0422 flops 0.6647 p_super 0.065 || val p_super 0.044 acc -0.0195 corr 0.134
ep  34 | train total 0.6405 acc -0.0433 flops 0.6648 p_super 0.065 || val p_super 0.043 acc -0.0212 corr 0.128
ep  35 | train total 0.6403 acc -0.0438 flops 0.6654 p_super 0.067 || val p_super 0.043 acc -0.0265 corr 0.142
ep  36 | train total 0.6415 acc -0.0417 flops 0.6641 p_super 0.063 || val p_super 0.034 acc -0.0179 corr 0.129
ep  37 | train total 0.6405 acc -0.0428 flops 0.6642 p_super 0.064 || val p_super 0.047 acc -0.0251 corr 0.142
ep  38 | train total 0.6403 acc -0.0436 flops 0.6651 p_super 0.066 || val p_super 0.044 acc -0.0268 corr 0.147
ep  39 | train total 0.6413 acc -0.0430 flops 0.6655 p_super 0.067 || val p_super 0.044 acc -0.0237 corr 0.137
ep  40 | train total 0.6405 acc -0.0440 flops 0.6657 p_super 0.068 || val p_super 0.042 acc -0.0222 corr 0.138
ep  41 | train total 0.6406 acc -0.0434 flops 0.6652 p_super 0.066 || val p_super 0.036 acc -0.0204 corr 0.129
ep  42 | train total 0.6394 acc -0.0445 flops 0.6650 p_super 0.066 || val p_super 0.046 acc -0.0240 corr 0.144
ep  43 | train total 0.6403 acc -0.0447 flops 0.6665 p_super 0.070 || val p_super 0.065 acc -0.0272 corr 0.144
ep  44 | train total 0.6405 acc -0.0441 flops 0.6660 p_super 0.068 || val p_super 0.048 acc -0.0263 corr 0.140
ep  45 | train total 0.6402 acc -0.0444 flops 0.6659 p_super 0.068 || val p_super 0.029 acc -0.0177 corr 0.129
ep  46 | train total 0.6398 acc -0.0443 flops 0.6653 p_super 0.067 || val p_super 0.038 acc -0.0195 corr 0.131
ep  47 | train total 0.6394 acc -0.0449 flops 0.6656 p_super 0.067 || val p_super 0.042 acc -0.0220 corr 0.130
ep  48 | train total 0.6391 acc -0.0453 flops 0.6656 p_super 0.067 || val p_super 0.052 acc -0.0246 corr 0.134
ep  49 | train total 0.6386 acc -0.0457 flops 0.6656 p_super 0.067 || val p_super 0.044 acc -0.0218 corr 0.140
ep  50 | train total 0.6385 acc -0.0453 flops 0.6649 p_super 0.066 || val p_super 0.035 acc -0.0210 corr 0.139
ep  51 | train total 0.6395 acc -0.0440 flops 0.6646 p_super 0.065 || val p_super 0.049 acc -0.0241 corr 0.135
ep  52 | train total 0.6396 acc -0.0449 flops 0.6658 p_super 0.068 || val p_super 0.041 acc -0.0219 corr 0.135
ep  53 | train total 0.6391 acc -0.0460 flops 0.6666 p_super 0.070 || val p_super 0.039 acc -0.0210 corr 0.128
ep  54 | train total 0.6394 acc -0.0447 flops 0.6653 p_super 0.066 || val p_super 0.039 acc -0.0201 corr 0.131
ep  55 | train total 0.6383 acc -0.0465 flops 0.6663 p_super 0.069 || val p_super 0.044 acc -0.0229 corr 0.132
ep  56 | train total 0.6384 acc -0.0462 flops 0.6659 p_super 0.068 || val p_super 0.053 acc -0.0280 corr 0.136
ep  57 | train total 0.6394 acc -0.0452 flops 0.6659 p_super 0.068 || val p_super 0.054 acc -0.0227 corr 0.131
ep  58 | train total 0.6384 acc -0.0468 flops 0.6667 p_super 0.070 || val p_super 0.053 acc -0.0263 corr 0.137
